W	Q2	S_{0+}		S_{1+}		S_{2+}		S_{3+}		S_{4+}		S_{5+}		S_{0-}		S_{1-}		S_{2-}		S_{3-}		S_{4-}		S_{5-}		E_{0+}		E_{1+}		E_{2+}		E_{3+}		E_{4+}		E_{5+}		E_{0-}		E_{1-}		E_{2-}		E_{3-}		E_{4-}		E_{5-}		M_{0+}		M_{1+}		M_{2+}		M_{3+}		M_{4+}		M_{5+}		M_{0-}		M_{1-}		M_{2-}		M_{3-}		M_{4-}		M_{5-}
1.08	0	-1.451	0.2	-0.074	-0.001	0	0	0	0	0	0	0	0	0	0	0.117	-0.001	0.035	0	0	0	0	0	0	0	-0.472	0.388	-0.076	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	-0.085	0	0.001	0	0	0	0	0	0	0	1.732	0.003	-0.006	0	0	0	0	0	0	0	0	0	-1.129	0.003	0.003	0	0	0	0	0	0	0
1.09	0	-1.643	0.652	-0.131	-0.009	0	0	0	0	0	0	0	0	0	0	0.188	-0.004	0.079	0	-0.002	0	0	0	0	0	-0.609	1.231	-0.124	-0.015	0	0	0	0	0	0	0	0	0	0	0	0	-0.198	0.001	0.003	0	0	0	0	0	0	0	2.97	0.053	-0.016	0	0.001	0	0	0	0	0	0	0	-1.729	0.009	0.009	0	0	0	0	0	0	0
1.1	0	-1.832	0.879	-0.184	-0.03	0	0	0	0	0	0	0	0	0	0	0.245	-0.007	0.117	0	-0.003	0	0	0	0	0	-0.732	1.605	-0.163	-0.046	0	0	0	0	0	0	0	0	0	0	0	0	-0.299	0	0.006	0	0	0	0	0	0	0	4.105	0.186	-0.026	0	0.001	0	0	0	0	0	0	0	-2.12	0.019	0.014	0	0	0	0	0	0	0
1.11	0	-2.015	1.059	-0.239	-0.065	-0.001	0	0	0	0	0	0	0	0	0	0.296	-0.007	0.149	-0.001	-0.005	0	0	0	0	0	-0.847	1.875	-0.197	-0.094	-0.001	0	0	0	0	0	0	0	0	0	0	0	-0.391	0.002	0.01	0	0	0	0	0	0	0	5.283	0.426	-0.034	0	0.001	0	0	0	0	0	0	0	-2.408	0.033	0.022	0	0	0	0	0	0	0
1.12	0	-2.191	1.216	-0.297	-0.115	-0.002	0	0	0	0	0	0	0	0	0	0.346	-0.002	0.177	-0.001	-0.007	0	0	0	0	0	-0.953	2.093	-0.229	-0.159	-0.001	0	0	0	0	0	0	0	0	0	0	0	-0.474	0.002	0.013	0	0	0	0	0	0	0	6.562	0.82	-0.043	0	0.002	0	0	0	0	0	0	0	-2.627	0.051	0.03	0	0	0	0	0	0	0
1.13	0	-2.361	1.361	-0.355	-0.185	-0.002	0	0	0	0	0	0	0	0	0	0.394	0.007	0.2	-0.001	-0.008	0	0	0	0	0	-1.05	2.278	-0.254	-0.242	-0.001	0	0	0	0	0	0	0	0	0	0	0	-0.549	0.003	0.017	0	0	0	0	0	0	0	7.98	1.43	-0.052	0	0.003	0	0	0	0	0	0	0	-2.794	0.071	0.038	0.001	0.001	0	0	0	0	0
1.14	0	-2.525	1.491	-0.413	-0.28	-0.002	0	0	0	0	0	0	0	0	0	0.443	0.025	0.221	-0.002	-0.011	0	0	0	0	0	-1.139	2.433	-0.269	-0.347	-0.001	0.001	0	0	0	0	0	0	0	0	0	0	-0.617	0.005	0.022	0	-0.001	0	0	0	0	0	9.55	2.349	-0.061	0	0.005	0	0	0	0	0	0	0	-2.92	0.097	0.048	0.001	0	0	0	0	0	0
1.15	0	-2.681	1.613	-0.462	-0.405	-0.002	0.001	0	0	0	0	0	0	0	0	0.492	0.049	0.236	-0.002	-0.012	0	0	0	0	0	-1.221	2.571	-0.267	-0.474	-0.001	0.001	0	0	0	0	0	0	0	0	0	0	-0.678	0.007	0.026	0	-0.001	0	0	0	0	0	11.255	3.704	-0.069	0	0.006	0	0	0	0	0	0	0	-3.01	0.125	0.059	0.002	0.001	0	0	0	0	0
1.16	0	-2.831	1.729	-0.493	-0.564	-0.003	0.001	0	0	0	0	0	0	0	0	0.542	0.081	0.251	-0.004	-0.015	0	0	0	0	0	-1.296	2.694	-0.237	-0.626	-0.002	0.002	0	0	0	0	0	0	0	0	0	0	-0.734	0.01	0.031	0	-0.002	0	0	0	0	0	13.009	5.664	-0.077	-0.001	0.007	0	0	0	0	0	0	0	-3.07	0.157	0.071	0.003	0.001	0	0	0	0	0
1.17	0	-2.973	1.836	-0.489	-0.76	-0.003	0.002	0	0	0	0	0	0	0	0	0.594	0.12	0.26	-0.005	-0.016	0	0.001	0	0	0	-1.366	2.803	-0.162	-0.794	-0.002	0.002	0	0	0	0	0	0	0	0	0	0	-0.784	0.014	0.036	0	-0.002	0	0	0	0	0	14.601	8.411	-0.085	-0.001	0.008	0	0	0	0	0	0	0	-3.102	0.192	0.084	0.004	0.001	0	0	0	0	0
1.18	0	-3.108	1.939	-0.42	-0.986	-0.003	0.002	0	0	0	0	0	0	0	0	0.646	0.167	0.268	-0.008	-0.019	0	0.001	0	0	0	-1.427	2.905	-0.022	-0.966	-0.003	0.003	0	0	0	0	0	0	0	0	0	0	-0.828	0.018	0.042	0.001	-0.002	0	0	0	0	0	15.607	12.062	-0.091	-0.002	0.009	0	0	0	0	0	0	0	-3.11	0.231	0.099	0.006	0.002	0	0	0	0	0
1.19	0	-3.238	2.04	-0.258	-1.211	-0.004	0.003	0	0	0	0	0	0	0	0	0.701	0.221	0.274	-0.01	-0.021	0	0.001	0	0	0	-1.482	3.001	0.198	-1.108	-0.003	0.004	0	0	0	0	0	0	0	0	0	0	-0.869	0.023	0.047	0.001	-0.002	0	0	0	0	0	15.394	16.447	-0.097	-0.002	0.011	0	-0.001	0	0	0	0	0	-3.096	0.273	0.114	0.007	0.003	0.001	0	0	0	0
1.2	0	-3.361	2.134	0.013	-1.378	-0.004	0.004	0	0	0	0	0	0	0	0	0.757	0.284	0.277	-0.012	-0.022	0	0.001	0	0	0	-1.531	3.089	0.492	-1.166	-0.004	0.004	0	0	0	0	0	0	0	0	0	0	-0.904	0.03	0.054	0.001	-0.002	0	0	0	0	0	13.331	20.883	-0.103	-0.002	0.012	0	0	0	0	0	0	0	-3.059	0.318	0.131	0.01	0.004	0.001	0	0	0	0
1.21	0	-3.477	2.227	0.357	-1.425	-0.006	0.004	0	0	0	0	0	0	0	0	0.812	0.355	0.277	-0.016	-0.025	0	0.001	0	0	0	-1.573	3.174	0.811	-1.099	-0.004	0.005	0	0	0	0	0	0	0	0	0	0	-0.935	0.04	0.059	0.001	-0.003	0	0	0	0	0	9.338	24.246	-0.107	-0.003	0.016	0	-0.001	0	0	0	0	0	-3.003	0.365	0.15	0.013	0.005	0.001	0.001	0	0	0
1.22	0	-3.587	2.317	0.696	-1.326	-0.005	0.005	0	0	0	0	0	0	0	0	0.869	0.434	0.275	-0.021	-0.027	-0.001	0.001	0	0	0	-1.611	3.255	1.08	-0.907	-0.005	0.006	0	0	0	0	0	0	0	0	0	0	-0.961	0.049	0.066	0.002	-0.004	0	0	0	0	0	4.245	25.62	-0.113	-0.003	0.017	0	-0.001	0	0	0	0	0	-2.929	0.418	0.17	0.017	0.006	0.001	0.001	0	0	0
