W,Q2,Sigma_t,Sigma_l
1.08,0,1.00641,0
1.09,0,4.40644,0
1.1,0,9.66487,0
1.11,0,17.1719,0
1.12,0,27.6648,0
1.13,0,42.3456,0
1.14,0,62.9676,0
1.15,0,91.8945,0
1.16,0,132.251,0
1.17,0,187.085,0
1.18,0,257.205,0
1.19,0,336.832,0
1.2,0,409.403,0
1.21,0,452.85,0
1.22,0,455.217,0
1.23,0,423.444,0
1.24,0,374.854,0
1.25,0,323.268,0
1.26,0,276.054,0
1.27,0,235.612,0
1.28,0,201.91,0
1.29,0,174.038,0
1.3,0,151.004,0
1.31,0,131.902,0
1.32,0,115.849,0
1.33,0,102.399,0
1.34,0,90.967,0
1.35,0,81.2693,0
1.36,0,72.9714,0
1.37,0,65.8947,0
1.38,0,59.8123,0
1.39,0,54.599,0
1.4,0,50.1509,0
1.41,0,46.3834,0
1.42,0,43.3391,0
1.43,0,41.0072,0
1.44,0,39.4349,0
1.45,0,38.7705,0
1.46,0,39.1356,0
1.47,0,40.8202,0
1.48,0,44.0734,0
1.49,0,49.6886,0
1.5,0,54.6727,0
1.51,0,58.5057,0
1.52,0,60.1042,0
1.53,0,58.9796,0
1.54,0,55.4913,0
1.55,0,50.6631,0
1.56,0,45.5426,0
1.57,0,40.9951,0
1.58,0,37.582,0
1.59,0,35.3894,0
1.6,0,34.1297,0
1.61,0,33.7589,0
1.62,0,34.2577,0
1.63,0,35.5796,0
1.64,0,37.4347,0
1.65,0,39.2916,0
1.66,0,40.4715,0
1.67,0,40.4974,0
1.68,0,39.1349,0
1.69,0,36.8041,0
1.7,0,33.9966,0
1.71,0,31.076,0
1.72,0,28.2739,0
1.73,0,25.8307,0
1.74,0,23.7471,0
1.75,0,22.0908,0
1.76,0,20.8134,0
1.77,0,19.8957,0
1.78,0,19.2859,0
1.79,0,18.8728,0
1.8,0,18.7376,0
1.81,0,18.7102,0
1.82,0,18.7839,0
1.83,0,18.9802,0
1.84,0,19.2324,0
1.85,0,19.4818,0
1.86,0,19.7729,0
1.87,0,19.9761,0
1.88,0,20.1095,0
1.89,0,20.1322,0
1.9,0,20.024,0
1.91,0,19.7628,0
1.92,0,19.4246,0
1.93,0,18.9345,0
1.94,0,18.3846,0
1.95,0,17.702,0
1.96,0,17.0028,0
1.97,0,16.26,0
1.98,0,15.4903,0
1.99,0,14.7704,0
2,0,14.0385,0
1.08,0.05,2.64356,1.08338
1.09,0.05,9.86469,1.73469
1.1,0.05,19.8764,2.24999
1.11,0.05,32.9005,2.73927
1.12,0.05,49.8428,3.23121
1.13,0.05,72.162,3.75426
1.14,0.05,101.924,4.33482
1.15,0.05,142.017,4.99381
1.16,0.05,195.847,5.783
1.17,0.05,266.366,6.70818
1.18,0.05,353.17,7.74642
1.19,0.05,447.173,8.77684
1.2,0.05,526.809,9.62429
1.21,0.05,566.034,10.0554
1.22,0.05,553.947,10.0285
1.23,0.05,502.839,9.60984
1.24,0.05,435.09,9.04736
1.25,0.05,367.404,8.44175
1.26,0.05,307.68,7.89019
1.27,0.05,257.847,7.41468
1.28,0.05,217.235,7.02628
1.29,0.05,184.271,6.70412
1.3,0.05,157.453,6.43873
1.31,0.05,135.561,6.22352
1.32,0.05,117.413,6.03427
1.33,0.05,102.352,5.86874
1.34,0.05,89.6958,5.70321
1.35,0.05,79.081,5.52708
1.36,0.05,70.0654,5.36007
1.37,0.05,62.472,5.18662
1.38,0.05,56.029,5.01549
1.39,0.05,50.545,4.85958
1.4,0.05,45.9175,4.72536
1.41,0.05,42.0434,4.61769
1.42,0.05,38.9418,4.5421
1.43,0.05,36.535,4.49689
1.44,0.05,34.8847,4.49482
1.45,0.05,34.0749,4.52557
1.46,0.05,34.2322,4.61314
1.47,0.05,35.5931,4.73014
1.48,0.05,38.3747,4.88089
1.49,0.05,42.9107,5.02531
1.5,0.05,46.8481,5.0052
1.51,0.05,49.8349,4.85042
