W	Q2	S_{0+}		S_{1+}		S_{2+}		S_{3+}		S_{4+}		S_{5+}		S_{0-}		S_{1-}		S_{2-}		S_{3-}		S_{4-}		S_{5-}		E_{0+}		E_{1+}		E_{2+}		E_{3+}		E_{4+}		E_{5+}		E_{0-}		E_{1-}		E_{2-}		E_{3-}		E_{4-}		E_{5-}		M_{0+}		M_{1+}		M_{2+}		M_{3+}		M_{4+}		M_{5+}		M_{0-}		M_{1-}		M_{2-}		M_{3-}		M_{4-}		M_{5-}
1.08	0	13.728	0.111	0.802	0	0.059	0	0.006	0	0	0	0	0	0	0	5.003	-0.001	-0.14	0	-0.01	0	-0.001	0	0	0	26.811	0.252	1.427	0	0.107	0	0.01	0	0.001	0	0	0	0	0	0	0	0.619	0	0.032	0	0.003	0	0	0	0	0	-2.66	-0.002	-0.048	0	-0.004	0	0	0	0	0	0	0	1.798	-0.003	0.082	0	0.005	0	0	0	0	0
1.09	0	13.333	0.354	1.223	0.005	0.137	0	0.02	0	0.003	0	0	0	0	0	7.264	-0.02	-0.327	0	-0.041	0	-0.006	0	0	0	25.272	0.792	2.077	0.008	0.239	0	0.034	0	0.006	0	0.001	0	0	0	0	0	1.395	0.001	0.113	0	0.014	0	0.002	0	0	0	-4.267	-0.035	-0.112	0	-0.013	0	-0.001	0	0	0	0	0	2.707	-0.011	0.193	0	0.017	0	0.002	0	0	0
1.1	0	12.965	0.408	1.503	0.017	0.207	0	0.037	0	0.007	0	0.001	0	0	0	8.503	-0.054	-0.491	0	-0.075	0	-0.013	0	-0.001	0	23.938	0.931	2.44	0.025	0.345	0	0.062	0	0.012	0	0.003	0	0	0	0	0	2.036	0.002	0.202	0	0.031	0	0.006	0	0	0	-5.531	-0.124	-0.168	0	-0.025	0	-0.003	0	0	0	0	0	3.277	-0.026	0.293	0	0.032	0	0.004	0	0.001	0
1.11	0	12.62	0.412	1.715	0.037	0.268	0	0.056	0	0.013	0	0.003	0	0	0	9.269	-0.093	-0.637	-0.001	-0.113	0	-0.023	0	-0.003	0	22.762	0.971	2.67	0.053	0.429	0	0.088	0	0.02	0	0.005	0	0	0	0	0	2.569	0.004	0.292	0	0.05	0	0.01	0	0	0	-6.694	-0.286	-0.217	0	-0.038	0	-0.006	0	-0.001	0	0	0	3.684	-0.043	0.383	0	0.048	0	0.008	0	0.001	0
1.12	0	12.295	0.387	1.888	0.068	0.324	0	0.074	0	0.019	0	0.005	0	0	0	9.76	-0.132	-0.765	-0.001	-0.151	0	-0.033	0	-0.005	0	21.717	0.961	2.821	0.091	0.499	0	0.114	0	0.029	0	0.008	0	0	0	0	0	3.015	0.006	0.378	0	0.072	0	0.016	0	0	0	-7.846	-0.555	-0.259	0	-0.051	0	-0.009	0	-0.002	0	0	0	3.994	-0.064	0.465	0	0.065	0	0.011	0	0.002	0
1.13	0	11.985	0.34	2.033	0.111	0.374	0	0.093	0	0.025	0	0.008	0	0	0	10.069	-0.168	-0.879	-0.003	-0.188	0	-0.045	0	-0.008	0	20.783	0.92	2.922	0.141	0.555	0	0.137	0	0.038	0	0.011	0	0	0	0	0	3.39	0.01	0.458	0	0.094	0	0.023	0	0	0	-9.035	-0.974	-0.296	0	-0.064	0	-0.013	0	-0.003	0	0	0	4.236	-0.086	0.539	0.001	0.082	0	0.016	0	0.004	0
1.14	0	11.69	0.282	2.156	0.171	0.419	0	0.112	0	0.033	0	0.01	0	0	0	10.257	-0.197	-0.979	-0.004	-0.226	0	-0.058	0	-0.012	0	19.945	0.859	2.981	0.206	0.602	0.001	0.158	0	0.046	0	0.014	0	0	0	0	0	3.706	0.015	0.532	0	0.116	0	0.031	0	0	0	-10.29	-1.611	-0.329	0	-0.075	0	-0.016	0	-0.004	0	0	0	4.43	-0.108	0.606	0.001	0.098	0	0.02	0	0.005	0
1.15	0	11.408	0.213	2.257	0.252	0.46	0.001	0.129	0	0.04	0	0.013	0	0	0	10.356	-0.218	-1.07	-0.006	-0.262	0	-0.07	0	-0.017	0	19.188	0.789	3.006	0.287	0.64	0.001	0.177	0	0.055	0	0.018	0	0	0	0	0	3.977	0.022	0.599	0	0.137	0	0.038	0	0	0	-11.606	-2.556	-0.356	0	-0.088	0	-0.02	0	-0.005	0	0	0	4.588	-0.131	0.668	0.004	0.114	0	0.025	0	0.006	0
1.16	0	11.137	0.138	2.333	0.358	0.495	0.001	0.146	0	0.048	0	0.016	0	0	0	10.392	-0.229	-1.15	-0.008	-0.297	0	-0.083	0	-0.021	0	18.5	0.712	2.994	0.384	0.67	0.001	0.194	0	0.062	0	0.022	0	0	0	0	0	4.208	0.029	0.66	0	0.157	0	0.046	0	0	0	-12.929	-3.928	-0.38	-0.001	-0.101	0	-0.023	0	-0.007	0	0	0	4.718	-0.153	0.725	0.005	0.13	0	0.029	0	0.008	0
1.17	0	10.876	0.059	2.371	0.489	0.528	0.001	0.162	0	0.055	0	0.02	0	0	0	10.381	-0.23	-1.223	-0.011	-0.33	0	-0.095	0	-0.027	0	17.875	0.632	2.939	0.495	0.695	0.002	0.209	0	0.07	0	0.025	0	0	0	0	0	4.406	0.04	0.716	0	0.177	0	0.054	0	0	0	-14.114	-5.856	-0.401	-0.001	-0.113	0	-0.027	0	-0.008	0	0	0	4.829	-0.172	0.778	0.007	0.145	0	0.034	0	0.009	0
