W,Q2,Sigma_t,Sigma_l
1.08,0,35.7026,0
1.09,0,115.316,0
1.1,0,147.753,0
1.11,0,168.678,0
1.12,0,185.214,0
1.13,0,200.52,0
1.14,0,216.953,0
1.15,0,236.345,0
1.16,0,260.344,0
1.17,0,290.173,0
1.18,0,325.203,0
1.19,0,360.999,0
1.2,0,387.928,0
1.21,0,395.274,0
1.22,0,379.916,0
1.23,0,349.258,0
1.24,0,313.513,0
1.25,0,280.098,0
1.26,0,251.928,0
1.27,0,229.224,0
1.28,0,211.27,0
1.29,0,197.071,0
1.3,0,185.792,0
1.31,0,176.865,0
1.32,0,169.614,0
1.33,0,163.844,0
1.34,0,159.072,0
1.35,0,155.396,0
1.36,0,152.316,0
1.37,0,149.927,0
1.38,0,148.172,0
1.39,0,146.939,0
1.4,0,146.351,0
1.41,0,146.35,0
1.42,0,147.211,0
1.43,0,148.848,0
1.44,0,151.412,0
1.45,0,154.944,0
1.46,0,159.505,0
1.47,0,164.737,0
1.48,0,169.953,0
1.49,0,167.069,0
1.5,0,159.847,0
1.51,0,149.571,0
1.52,0,135.837,0
1.53,0,120.854,0
1.54,0,107.781,0
1.55,0,98.1125,0
1.56,0,92.2335,0
1.57,0,89.5339,0
1.58,0,89.1743,0
1.59,0,90.2524,0
1.6,0,91.9235,0
1.61,0,93.994,0
1.62,0,96.2358,0
1.63,0,98.6536,0
1.64,0,100.352,0
1.65,0,100.408,0
1.66,0,97.7952,0
1.67,0,92.286,0
1.68,0,84.3924,0
1.69,0,75.3669,0
1.7,0,66.351,0
1.71,0,58.0028,0
1.72,0,50.8046,0
1.73,0,44.9861,0
1.74,0,40.2925,0
1.75,0,36.6068,0
1.76,0,33.7295,0
1.77,0,31.5069,0
1.78,0,29.692,0
1.79,0,28.3067,0
1.8,0,27.1663,0
1.81,0,26.2655,0
1.82,0,25.5073,0
1.83,0,24.8662,0
1.84,0,24.3327,0
1.85,0,23.8175,0
1.86,0,23.4405,0
1.87,0,23.0739,0
1.88,0,22.7326,0
1.89,0,22.3268,0
1.9,0,21.8897,0
1.91,0,21.4566,0
1.92,0,20.9778,0
1.93,0,20.4337,0
1.94,0,19.9242,0
1.95,0,19.4041,0
1.96,0,18.9453,0
1.97,0,18.4453,0
1.98,0,18.0155,0
1.99,0,17.6626,0
2,0,17.2983,0
1.08,0.05,28.1849,6.31325
1.09,0.05,94.9598,28.5802
1.1,0.05,125.907,44.4523
1.11,0.05,148.111,56.8689
1.12,0.05,166.938,66.5475
1.13,0.05,185.302,73.7634
1.14,0.05,205.338,78.9405
1.15,0.05,229.1,82.4655
1.16,0.05,258.458,84.4575
1.17,0.05,294.652,84.9499
1.18,0.05,336.862,83.8848
1.19,0.05,379.439,81.2071
1.2,0.05,410.871,76.5607
1.21,0.05,418.729,70.7455
1.22,0.05,399.724,64.6273
1.23,0.05,362.887,59.2501
1.24,0.05,320.495,54.9761
1.25,0.05,281.073,51.7719
1.26,0.05,247.93,49.2511
1.27,0.05,221.22,47.1253
1.28,0.05,200.05,45.1897
1.29,0.05,183.363,43.2339
1.3,0.05,169.985,41.356
1.31,0.05,159.429,39.4262
1.32,0.05,150.86,37.4808
1.33,0.05,143.977,35.4634
1.34,0.05,138.485,33.3857
1.35,0.05,134.073,31.3153
1.36,0.05,130.473,29.3222
1.37,0.05,127.759,27.3549
1.38,0.05,125.653,25.5697
1.39,0.05,124.204,24.0654
1.4,0.05,123.446,22.7469
1.41,0.05,123.317,21.6828
1.42,0.05,123.857,20.7922
1.43,0.05,125.209,20.1403
1.44,0.05,127.522,19.5904
1.45,0.05,130.758,19.2654
1.46,0.05,135.241,19.1062
1.47,0.05,140.684,19.1073
1.48,0.05,146.597,19.1978
1.49,0.05,145.104,19.3512
1.5,0.05,139.936,19.5659
1.51,0.05,132.447,19.5459
1.52,0.05,121.507,19.131
1.53,0.05,108.925,18.3883
1.54,0.05,97.4068,17.3692
1.55,0.05,88.6574,16.2634
1.56,0.05,83.1498,15.1641
1.57,0.05,80.5252,14.1223
1.58,0.05,79.9969,13.1817
1.59,0.05,80.9386,12.3737
1.6,0.05,82.4726,11.6934
1.61,0.05,84.4031,11.1631
1.62,0.05,86.6848,10.7621
1.63,0.05,89.1682,10.4788
1.64,0.05,91.2213,10.28
1.65,0.05,91.8904,10.1032
1.66,0.05,90.3181,9.85796
1.67,0.05,86.0337,9.55467
1.68,0.05,79.5442,9.20909
1.69,0.05,71.7099,8.81176
1.7,0.05,63.5718,8.44292
1.71,0.05,55.8781,8.12374
1.72,0.05,49.0624,7.84819
1.73,0.05,43.2701,7.57587
1.74,0.05,38.6297,7.34634
1.75,0.05,34.8879,7.16803
1.76,0.05,31.8422,6.97164
1.77,0.05,29.4113,6.7785
1.78,0.05,27.4576,6.59605
1.79,0.05,25.8898,6.39921
1.8,0.05,24.6133,6.2108
1.81,0.05,23.5542,6.01044
1.82,0.05,22.6962,5.81473
1.83,0.05,21.9529,5.60522
1.84,0.05,21.3421,5.43248
1.85,0.05,20.7723,5.25386
1.86,0.05,20.3126,5.07828
1.87,0.05,19.8686,4.91503
1.88,0.05,19.4649,4.76331
1.89,0.05,19.0551,4.61717
1.9,0.05,18.672,4.49142
1.91,0.05,18.2756,4.37176
1.92,0.05,17.8468,4.26348
1.93,0.05,17.402,4.15599
1.94,0.05,16.9828,4.06111
1.95,0.05,16.5302,3.97273
1.96,0.05,16.1341,3.88757
1.97,0.05,15.7151,3.80406
1.98,0.05,15.4053,3.72446
1.99,0.05,15.0736,3.64799
2,0.05,14.8177,3.5544
1.08,0.1,22.2156,4.83124
1.09,0.1,76.5426,24.2344
1.1,0.1,103.553,39.9972
1.11,0.1,124.183,53.7772
1.12,0.1,142.603,65.3872
1.13,0.1,161.231,75.1671
1.14,0.1,182.117,83.2612
1.15,0.1,207.117,89.824
1.16,0.1,238.229,94.9985
1.17,0.1,276.757,98.4525
1.18,0.1,321.685,100.151
1.19,0.1,367.271,99.4033
1.2,0.1,401.501,95.9055
1.21,0.1,411.281,90.2257
1.22,0.1,393.129,83.6729
1.23,0.1,356.117,77.726
1.24,0.1,313.155,73.0656
1.25,0.1,272.819,69.7983
1.26,0.1,238.676,67.3505
1.27,0.1,211.007,65.3458
1.28,0.1,188.945,63.6143
1.29,0.1,171.49,61.8537
1.3,0.1,157.432,59.9501
1.31,0.1,146.287,57.8882
1.32,0.1,137.249,55.6523
1.33,0.1,129.908,53.1324
1.34,0.1,123.921,50.3968
1.35,0.1,119.206,47.4945
1.36,0.1,115.416,44.5253
1.37,0.1,112.397,41.6507
1.38,0.1,110.113,38.9738
1.39,0.1,108.512,36.5611
1.4,0.1,107.546,34.4517
1.41,0.1,107.215,32.7246
1.42,0.1,107.608,31.3323
1.43,0.1,108.756,30.2379
1.44,0.1,110.707,29.4243
1.45,0.1,113.799,28.9555
1.46,0.1,117.999,28.8145
1.47,0.1,123.441,28.9698
1.48,0.1,129.632,29.443
1.49,0.1,129.042,30.1393
1.5,0.1,125.352,31.0847
1.51,0.1,119.676,31.8022
1.52,0.1,110.775,31.8289
1.53,0.1,99.9782,31.117
1.54,0.1,89.7448,29.8044
1.55,0.1,81.7523,28.1752
1.56,0.1,76.5214,26.3768
1.57,0.1,73.9219,24.5867
1.58,0.1,73.4198,22.9599
1.59,0.1,74.1161,21.5308
1.6,0.1,75.5005,20.3039
1.61,0.1,77.2442,19.3741
1.62,0.1,79.3872,18.7004
1.63,0.1,81.811,18.2957
1.64,0.1,83.9988,18.0607
1.65,0.1,85.0397,17.937
1.66,0.1,84.1683,17.717
1.67,0.1,80.7979,17.4282
1.68,0.1,75.3323,16.9642
1.69,0.1,68.4936,16.4447
1.7,0.1,61.0209,15.8627
1.71,0.1,53.8778,15.3256
1.72,0.1,47.4338,14.79
1.73,0.1,41.9056,14.2968
1.74,0.1,37.3201,13.8324
1.75,0.1,33.5479,13.4527
1.76,0.1,30.5177,13.0672
1.77,0.1,28.0658,12.6679
1.78,0.1,26.0567,12.292
1.79,0.1,24.3897,11.9088
1.8,0.1,23.0077,11.5348
1.81,0.1,21.8866,11.1416
1.82,0.1,20.9616,10.7554
1.83,0.1,20.1515,10.3729
1.84,0.1,19.4671,10.0051
1.85,0.1,18.8522,9.64098
1.86,0.1,18.3512,9.29306
1.87,0.1,17.8933,8.99242
